ISIN,Company Long Name,Company Secretary
INE623B01027,Future Retail Limited,deepak.tanna@futuregroup.in
INE075D01018,GM Breweries Limited,"gmbreweries@gmail.com,info@gmbreweries.com"
INE131A01031,Gujarat Mineral Development Corporation Limited,cosec@gmdcltd.com
INE113A01013,Gujarat Narmada Valley Fertilizers and Chemicals Limited,investor@gnfc.in
INE026A01025,Gujarat State Fertilizers & Chemicals Limited,vishvesh@gsfcltd.com
INE524A01029,Gabriel India Limited,secretarial@gabriel.co.in
INE129A01019,GAIL (India) Limited,investorqueries@gail.co.in
INE528K01011,Gallantt Ispat Limited,"nitesh@gallantt.com, investors@gallantt.com"
INE297H01019,Gallantt Metal Limited,"rajesh@gallantt.com , investors@gallantt.com"
INE259B01020,Gammon India Limited,investors@gammonindia.com
INE181G01025,Gammon Infrastructure Projects Limited,compliances@gammoninfra.com
INE524B01027,Gandhi Special Tubes Limited,complianceofficer@gandhitubes.com
INE460C01014,Ganesh Housing Corporation Limited,investors@ganeshhousing.com
INE670B01028,Gangotri Textiles Limited,info@tibre.com
INE526A01016,Garden Silk Mills Limited,sharedepartment@gardenvareli.com
INE276A01018,Garware  Wall Ropes Limited,secretarial@garwareropes.com
INE852F01015,Gateway Distriparks Limited,investor@gateway-distriparks.com
INE152B01027,GATI Limited,investor.services@gati.com
INE336H01015,Gayatri Projects Limited,cs@gayatri.co.in
INE017A01032,The Great Eastern Shipping Company Limited,shares@greatship.com
INE916G01016,GeeCee Ventures Limited,geecee.investor@gcvl.in
INE599B01011,GEI Industrial Systems Limited,cs@geiind.com
INE878C01033,Gemini Communication Limited,sharedept@gcl.in
INE727B01026,Genesys International Corporation Limited,sunil.dhage@igenesys.com
INE955D01029,Genus Power Infrastructures Limited,cs@genus.in
INE007B01023,Geojit BNP Paribas Financial Services Limited,companysecretary@geojit.com
INE797A01021,Geometric Limited,investor-relations@geometriccglobal.com
INE539A01019,GHCL Limited,secretarial@ghcl.co.in
INE065J01016,GI Engineering Solutions Limited,investors@giesl.com
INE289B01019,GIC Housing Finance Limited,investors@gichf.com
INE047B01011,Gillanders Arbuthnot & Company Limited,secretarial@gillandersarbuthnot.com
INE322A01010,Gillette India Limited,gillette_investors@masserv.com
INE346H01014,Gitanjali Gems Limited,investors@gitanjaligroup.com
INE265D01015,GKB Ophthalmics Limited,investor.grievance@gkb.net
INE159A01016,GlaxoSmithKline Pharmaceuticals Limited,ajay.a.nadkarni@gsk.com
INE264A01014,GlaxoSmithKline Consumer Healthcare Limited,investor.2.co@gsk.com
INE935A01035,Glenmark Pharmaceuticals Limited,complianceofficer@glenmarkpharma.com
INE446C01013,Global Offshore Services Limited,investorredressal@globaloffshore.in
INE792H01019,Global Vectra Helicorp Limited,raakesh@gvhl.net
INE615I01010,Globus Spirits Limited,corpoffice@globusgroup.in
INE932G01021,Glodyne Technoserve Limited,cs@paradyne.co.in
INE776C01039,GMR Infrastructure Limited,sounderarajan.cp@gmrgroup.in
INE426D01013,Goa Carbon Limited,investorrelations@goacarbon.com
INE177H01013,Godawari Power And Ispat limited,ycrao65@gmail.com
INE260B01010,Godfrey Phillips India Limited,isc-gpi@modi.com
INE102D01028,Godrej Consumer Products Limited,investor.relations@godrejcp.com
INE233A01035,Godrej Industries Limited,investor@godrejinds.com
INE484J01027,Godrej Properties Limited,secretarial@godrejproperties.com
INE516K01024,Goenka Diamond and Jewels Limited,investors@goenkadiamonds.com
INE887G01027,Gokaldas Exports Limited,investorcare@gokaldasexports.com
INE020J01029,Gokul Refoils and Solvent Limited,csgrsl@gokulgroup.com
INE892H01017,GOL Offshore Limited,Investor_services@greatoffshore.com
INE973A01010,Golden Tobacco Limited,"share@goldentobacco.in, csmanoj@goldentobacco.in"
INE025B01017,Goldiam International Limited,investorrelations@goldiam.com
INE260D01016,Goldstone Infratech Limited,cs@goldstone.net
INE805A01014,Goldstone Technologies Limited,cs@goldstonetech.com
INE101D01012,Granules India Limited,investorrelations@granulesindia.com
INE371A01025,Graphite India Limited,investorgrievance@graphiteindia.com
INE047A01013,Grasim Industries Limited,grasimshares@adityabirla.com
INE024L01027,Gravita India Limited,companysecretary@gravitaindia.com
INE224A01026,Greaves Cotton Limited,investorservices@greavescotton.com
INE217G01027,Green Fire Agri Commodities Limited,investorcare@northgatetech.com
INE455J01027,Austral Coke & Projects Limited,contact@greenearth.net.in
INE461C01020,Greenply Industries Limited,investors@greenply.com
INE536A01023,Grindwell Norton Limited,sharecmpt.gno@saint-gobain.com
INE580B01029,Gruh Finance Limited,"investorcare@gruh.com, marcus@gruh.com"
INE787A01022,GSL Nova Petrochemicals Limited,cs@novapetro.com
INE871H01011,GSS Infotech Limited,kishore.avutapalli@gssamerica.com
INE043A01012,GTL Limited,gtlshares@gtllimited.com
INE221H01019,GTL Infrastructure Limited,"gilshares@gtlinfra.com, niteshm@gtlinfra.com"
INE537A01013,GTN Industries Limited,hyd_1patodia@gtnindustries.com
INE302H01017,GTN Textiles Limited,cs@gtntextiles.com
INE742B01025,Gufic Biosciences Limited,"gufic@guficbio.com, mgr_legal@guficbio.com"
INE186A01019,Gujarat Alkalies and Chemicals Limited,cosec@gacl.co.in
INE826C01016,Gujarat Apollo Industries Limited,cs@apollo.co.in
INE538A01037,Gujarat Fluorochemicals Limited,bvdesai@gfl.co.in
INE374A01029,Gujarat Gas Company Limited,rajeshwari.sharma@gujaratgas.com
INE162A01010,Gujarat Industries Power Company Limited,genbaroda@gipcl.com
INE110D01013,Gujarat NRE Coke Limited,investor@gujaratnre.com
INE517F01014,Gujarat Pipavav Port Limited,investorrelationinppv@apmterminals.com
INE036B01022,Gujarat Ambuja Exports Limited,jayvijay@ambujagroup.com
INE540A01017,Gujarat Lease Financing Limited,glfl.invcomplain@yahoo.co.in
INE542A01039,Gujarat Sidhee Cement Limited,anupama@mehtagroup.com
INE944A01011,Gujarat State Financial Corporation,sec-sell-gsfc@gujarat.gov.in
IN9110D01011,Gujarat NRE Coke Limited,investor@gujaratnre.com
INE246F01010,Gujarat State Petronet Limited,reena@gspc.in
INE077F01035,Gulf Oil Corporation Limited,asatyanarayana@gulfoilcorp.com
INE251H01024,GVK Power & Infrastructure Limited,cs.gvkpil@gvk.com
INE482J01013,Gyscoal Alloys Limited,cs@gyscoal.com
INE001A01036,Housing Development Finance Corporation Limited,investorcare@hdfc.com
INE191I01012,Housing Development and Infrastructure Limited,investors.relations@hdil.in
INE548A01028,Himachal Futuristic Communications Limited,investor@hfcl.com
INE094A01015,Hindustan Petroleum Corporation Limited,hpclinvestors@hpcl.co.in
INE501G01024,HT Media Limited,investor@hindustantimes.com
INE648H01013,Hanung Toys and Textiles Limited,investor@hanung.com
INE939D01015,Harita Seating Systems Limited,ni.iswarya@scl.co.in
INE544A01019,Harrisons  Malayalam Limited,hmlcorp@harrisonsmalayalam.com
INE982F01028,Hathway Cable & Datacom Limited,investorgrievance@hathway.net
INE473B01035,Hatsun Agro Product Limited,secretarial@hatsun.com
INE176B01026,Havells India Limited,investors@havells.com
INE550B01014,HB Stockholdings Limited,corporate@hbstockholdings.com
INE292B01021,HBL Power Systems Limited,investor@hbl.in
INE236A01020,HCL Infosystems Limited,cosec@hcl.com
INE860A01027,HCL Technologies Limited,investors@hcl.com
INE040A01026,HDFC Bank Limited,shareholder.grievances@hdfcbank.com
INE545A01016,HEG Limited,investor.complaints@hegltd.com
INE578A01017,HeidelbergCement India Limited,investors.mcl@mycem.in
INE674B01012,Helios And Matheson Information Technology Limited,investor@heliosmatheson.com
INE688E01024,Hercules Hoists Limited,indef@indef.com
INE978A01019,Heritage Foods Limited,umakanta@heritagefoods.in
INE158A01026,Hero MotoCorp Limited,ilam.kamboj@heromotocorp.com
INE750M01017,Hexa Tradex Limited,contactus@hexatradex.com
INE093A01033,Hexaware Technologies Limited,"investorinfo@hexaware.com, gunjanm@hexaware.com"
INE475B01014,Hikal Limited,secretarial@hikal.com
INE557A01011,HIL Limited,"kcn@hil.in, cs@hil.in"
INE788H01017,Hilton Metal Forging Limited,mayani@hiltonmetal.com
INE019C01026,Himadri Chemicals and Industries Limited,"investors@himadri.com, blsharma@himadri.com"
INE049A01027,Himatsingka Seide Limited,investors@himatsingka.com
INE835D01023,Hind Rectifiers Limited,investors@hirect.com
INE155B01012,Hind Syntex Limited,compliance_hsl@wearitgroup.com
INE030A01027,Hindustan Unilever Limited,levercare.shareholder@unilever.com
INE310C01011,Hindustan Composites Limited,investor@hindcompo.com
INE549A01026,Hindustan Construction Company Limited,secretarial@hccindia.com
INE531E01026,Hindustan Copper Limited,investors_cs@hindustancopper.com
INE551A01022,Hindustan Dorr-Oliver Limited,invcomplaint@hdo.in
INE253A01025,Hindustan Motors Limited,hmcosecy@hindmotor.com
INE952A01022,Hindusthan National Glass & Industries Limited,cosec@hngil.com
INE345A01011,Hindustan Oil Exploration Company Limited,hoecshare@hoec.com
INE048A01011,Hindustan Organic Chemicals Limited,investorsgrievances@hocindia.com
INE267A01025,Hindustan Zinc Limited,investorgrievanceshzl@vedanta.co.in
INE038A01020,Hindalco Industries Limited,hilinvestors@adityabirla.com
INE291F01016,Hinduja Foundries Limited,mgovind@hindujafoundries.com
INE170I01016,Hinduja Global Solutions Limited,investor.grievances@teamhgs.com
INE353A01023,Hinduja Ventures Limited,investorgrievances@hindujaventures.com
INE871K01015,Hindustan Media Ventures Limited,investor@hindustantimes.com
INE573I01011,Hira Ferro Alloys Limited,mohit.chande@hiraferro.com
INE782A01015,Hitachi Home and Life Solutions (India) Limited,compliance.officer@hitachi_hli.com
INE127B01011,Hi-Tech Gears Limited,secretarial@hitechgears.com
INE120D01012,Hitech Plast Limited,investor.help@hitechplast.in
INE262A01018,HMT Limited,investorhelp@hmtindia.com
INE634A01018,Honda Siel Power Products Limited,ho.legal@hspp.com
INE671A01010,Honeywell Automation India Limited,Sneha.Padve@honeywell.com
INE102A01024,Hotel Leela Venture Limited,investor.service@theleela.com
INE275F01019,Hotel Rugby Limited,rugbyhotel@rediffmail.com
INE596H01014,HOV Services Limited,bhuvanesh.sharma@hovsltd.com
INE415A01038,HSIL Limited,sharedept@hindware.co.in
INE703H01016,Hubtown Limited,investorcell@hubtown.co.in
INE275B01026,The Paper Products Limited,investor.communication@pplpack.com
INE473D01015,Hydro S & S Industries Limited,info@hssil.com.
INE834M01019,Indiabulls Infrastructure and Power Limited,gauravsrivastava3@indiabulls.com
INE043D01016,IDFC Limited,mahendra.shah@idfc.com
INE204A01010,IG Petrochemicals Limited,igpl.complaints@igpetro.com
INE547E01014,India Motor Parts and Accessories Limited,"nkumar@impal.net, secy@impal.net"
INE565A01014,Indian Overseas Bank,"investor@iobnet.co.in, lcomp@iobnet.co.in"
INE242A01010,Indian Oil Corporation Limited,investors@indianoil.in
INE090A01013,ICICI Bank Limited,investor@icicibank.com
INE725G01011,ICRA Limited,vw@icraindia.com
INE306B01029,ICSA (India) Limited,secretarial@icsa-india.com
INE008A01015,IDBI Bank Limited,idbiequity@idbi.co.in
INE669E01016,Idea Cellular Limited,shs@idea.adityabirla.com
INE076C01018,IFB Agro Industries Limited,complianceifbagro@ifbglobal.com
INE559A01017,IFB Industries Limited,g_raychowdhury@ifbglobal.com
INE039A01010,IFCI Limited,complianceofficer@ifciltd.com
INE023B01012,IFGL Refractories Limited,investorcomplaints@bajoria.in
INE188B01013,Igarashi Motors India Limited,investorservices@igarashimotors.co.in
INE530B01024,IIFL Holdings Limited,shareholders@indiainfoline.com
INE369I01014,IL&FS Engineering and Construction Company Limited,cs@ilfsengg.com
INE050B01023,IL&FS Investment Managers Limited,investor.relations@ilfsindia.com
INE975G01012,IL&FS Transportation Networks Limited,itnlinvestor@ilfsindia.com
INE065B01013,IMP Powers Limited,investor@imp-powers.com
INE691G01015,Impex Ferro Tech Limited,info@impexferrotech.com
INE841B01017,Indbank Merchant Banking Services Limited,investors@indbankonline.com
INE126M01010,Indiabulls Wholesale Services Limited,priyajain@indiabulls.com
INE069I01010,Indiabulls Real Estate Limited,helpdesk@indiabulls.com
INE383A01012,The India Cements Limited,investor@indiacements.co.in
INE560A01015,India Glycols Limited,compliance.officer@indiaglycols.com
INE092B01017,India Nippon Electricals Limited,investorscomplaints@inel.co.in
INE360C01024,DPSC Limited,info@dpscl.com
INE148I01020,Indiabulls Housing Finance Limited,ajain@indiabulls.com
INE399K01017,Indiabulls Power Limited,gtoshkhani@indiabulls.com
INE274G01010,Indiabulls Securities Limited,ragarwal@indiabulls.com
INE562A01011,Indian Bank,investors@indianbank.co.in
INE061A01014,Indian Card Clothing Company Limited,investor@cardindia.com
INE053A01029,The Indian Hotels Company Limited,investorrelations@tajhotels.com
INE323C01030,Indian Hume Pipe Company Limited,investorsgrievances@indianhumepipe.com
INE919H01018,Indian Metals & Ferro Alloys Limited,"secretarial@imfa.in, investor-relation@imfa.in"
INE611L01013,Indian Terrain Fashions Limited,investorservices@indianterrain.com
INE886A01014,Industrial Investment Trust Limited,cumi_banerjee@yahoo.com
INE483B01018,Indo Count Industries Limited,icilinvestors@indocount.com
INE567A01010,Indo-National Limited,power@nippobatteries.com
INE156A01020,Indo Rama Synthetics (India) Limited,investor-relations@indorama-ind.com
INE332H01014,Indo Tech Transformers Limited,investor@indo-tech.com
INE337M01013,Indo Thai Securities Limited,compliance@indothai.co.in
INE873D01024,Indoco Remedies Limited,compliance.officer@indoco.com
INE866K01015,Indosolar Limited,investors@indosolar.co.in
INE227G01018,Indowind Energy Limited,complianceofficer@indowind.com
INE681B01017,Indraprastha Medical Corporation Limited,imclshares@apollohospitals.com
INE203G01019,Indraprastha Gas Limited,investors@igl.co.in
INE788B01028,Ind-Swift Limited,companysec@indswift.com
INE915B01019,Ind-Swift Laboratories Limited,investor@indswiftlabs.com
INE025I01012,Indus Fila Limited,pradeep@indusfila.com
INE095A01012,IndusInd Bank Limited,haresh.gajwani@indusind.com
INE486J01014,Infinite Computer Solutions (India) Limited,shareholder@infinite.com
INE663F01024,Info Edge (India) Limited,"amit.gupta@naukri.com, investor@naukri.com"
INE804D01011,Info-Drive Software Limited,investorcell@infodriveservices.com
INE669A01022,INFOMEDIA PRESS LIMITED,ho@infomedia18.in
INE009A01021,Infosys Limited,investors@infosys.com
INE166A01011,ING Vysya Bank Limited,sharecare@ingvysyabank.com
INE177A01018,Ingersoll Rand (India) Limited,prashant_chakravarty@irco.com
INE549I01011,Innoventive Industries Limited,investor.grievance@innoventive.in
INE312H01016,INOX Leisure Limited,investors@inox.co.in
INE070I01018,Insecticides (India) Limited,investor@insecticidesindia.com
INE418N01027,Integra Garments and Textiles Limited,corporatesecretarial@integragarments.com
INE435A01028,International Paper APPM Limited,sectrjy@andhrapaper.com
INE566K01011,Intrasoft Technologies Limited,investors@itlindia.com
INE878H01016,Inventure Growth & Securities Limited,ipo@inventuregrowth.com
INE485C01011,IOL Chemicals and Pharmaceuticals Limited,investor@iolcp.com
INE558A01019,IP Rings Limited,investor@iprings.com
INE571A01020,IPCA Laboratories Limited,investors@ipca.com
INE821I01014,IRB Infrastructure Developers Limited,grievances@irb.co.in
INE732F01019,ISMT Limited,secretarial@ismt.co.in
INE154A01025,ITC Limited,isc@itc.in
INE686A01018,ITD Cementation India Limited,RC.DAGA@itdcem.co.in
INE248A01017,ITI Limited,secretary@itiltd.co.in
INE043C01018,IVP Limited,ivpsecretarial@allana.com
INE875A01025,IVRCL Limited,in_grievances@ivrinfra.com
INE168A01017,The Jammu & Kashmir Bank Limited,sharedept_gc@jkbmail.com
INE572A01028,JB Chemicals & Pharmaceuticals Limited,investorelations@jbcpl.com
INE263B01022,J D Orgochem Limited,"sec@jaysynth.com, jsec@jaysynth.com"
INE823G01014,JK Cement Limited,shambhu.singh@jkcement.com
INE576I01014,J.Kumar Infraprojects Limited,investor.grievances@jkumar.com
INE199G01027,Jagran Prakashan Limited,investor@jagran.com
INE048B01027,Jagsonpal Pharmaceuticals Limited,skmata@jagsonpal.com
INE091G01018,Jai Balaji Industries Limited,jaibalaji@jaibalajigroup.com
INE070D01027,Jai Corp Limited,cs2@jaicorpindia.com
INE343D01010,Jaihind Projects Limited,cs@jpl.co.in
IN9175A01010,Jain Irrigation Systems Limited,"shares@jains.com , investor.corr@jains.com"
INE175A01038,Jain Irrigation Systems Limited,"shares@jains.com , investor.corr@jains.com"
INE486B01011,Jain Studios Limited,jsl@jaintv.co.in
INE039C01016,Jamna Auto Industries Limited,praveen@jaispring.com
INE571B01028,Jay Bharat Maruti Limited,jbmlinvestor@jbm.co.in
INE364A01020,Jayshree Tea & Industries Limited,shares@jayshreetea.com
INE785A01026,Jayant Agro Organics Limited,investors@jayantagro.com
INE854B01010,Jayaswal Neco Industries Limited,karajgaonkar@necoindia.com
INE099J01015,Jaypee Infratech Limited,jpinfratech.investor@jalindia.co.in
INE187A01017,JBF Industries Limited,sec.shares@jbfmail.com
INE927D01010,JBM Auto Limited,ibmainvestor@jbm.co.in
INE264B01020,JCT Electronics Limited,mchadha@ndl.jctel.com
INE819B01021,Jenson & Nicholson (India) Limited,basudeb_bhattacharjee@jnpaints.com
INE802G01018,Jet Airways (India) Limited,investors@jetairways.com
INE180E01014,The Jeypore Sugar Company Limited,shares@jeyporesugars.com
INE544H01014,JHS Svendgaard Laboratories Limited,cs@svendgaard.com
INE026B01049,JIK Industries Limited,investorrel@jik.co.in
INE904J01016,Jindal Cotex Limited,"ipo@jindalcotex.com, cs@jindalcotex.com"
INE742C01031,Jindal Drilling And Industries Limited,secretarial@jindaldrilling.in
INE796G01012,Jindal Photo Limited,igr_photo@jindalgroup.com
INE197D01010,Jindal Poly Films Limited,secretarial_polyester@jindalgroup.com
INE147P01019,Jindal Poly Investment and Finance Company Limited,secretarial_investments@jindalgroup.com
INE324A01024,Jindal Saw Limited,investors@jindalsaw.com
INE220G01021,Jindal Stainless Limited,investorcare@jindalstainless.com
INE749A01030,Jindal Steel & Power Limited,investorcare@jindalsteel.com
INE247D01013,Jindal Worldwide Limited,information@jindaltextiles.com
INE786A01032,JK Lakshmi Cement Limited,bkdaga@jkmail.com
INE789E01012,JK Paper Limited,sharesjkpaper@jkmail.com
INE573A01034,JK Tyre & Industries Limited,investorjktyre@jkmail.com
INE780C01023,JM Financial Limited,shareholdergrievance@jmfl.com
INE890A01016,JMC Projects (India)  Limited,"secr@jmcprojects.com, amitraval@jmcprojects.com"
INE988E01010,JMT Auto Limited,jmt.cs@jmtauto.com
INE839G01010,Jocil Limited,jocil@jocil.com
INE455F01025,Jaiprakash Associates Limited,jal.investor@jalindia.co.in
INE351F01018,Jaiprakash Power Ventures Limited,jpvl.investor@jalindia.co.in
INE121E01018,JSW Energy Limited,jswel.investor@jsw.in
INE824G01012,JSW Holdings Limited,deepak.bhat@jsw.in
INE019A01020,JSW Steel Limited,jswsl.investor@jsw.in
INE797F01012,Jubilant Foodworks Limited,investor@jublfood.com
INE645L01011,Jubilant Industries Limited,investorsjil@jubl.com
INE700A01033,Jubilant Life Sciences Limited,investors@jubl.com
INE699D01015,Jumbo Bag Limited,csjbl@blissgroup.com
INE599M01018,Just Dial Limited,investors@justdial.com
INE430G01026,JVL Agro Industries Limited,rohitjaiswal@jvlagro.com
INE668F01031,Jyothy Laboratories Limited,secretarial@jyothy.com
INE197A01024,Jyoti Structures Limited,"contact@jsl.co.in, investor@jsl.co.in"
INE805C01028,KCP Limited,vijaycs@kcp.co.in
INE389H01022,KEC International Limited,investorpoint@kecrpg.com
INE930H01015,K.P.R. Mill Limited,kandaswamy@kprmill.com
INE900B01029,Kabra Extrusion Technik Limited,ket_sd@kolsitegroup.com
INE217B01028,Kajaria Ceramics Limited,investors@kajariaceramics.com
INE437B01014,Kakatiya Cement Sugar & Industries Limited,info@kakatiyacements.com
INE178D01010,Kalindee Rail Nirman (Engineers) Limited,investorgrievance@kalindee.net
INE220B01022,Kalpataru Power Transmission Limited,rahul.shah@kalpatarupower.com
INE314G01014,Kalyani Forge Limited,investors@kforge.com
INE029L01018,Kalyani Investment Company Limited,kicl@kalyanisteels.com
INE907A01026,Kalyani Steels Limited,investor@kalyanisteels.com
INE967C01018,Kamat Hotels (I) Limited,cs@khil.com
INE390H01012,Kamdhenu Ispat Limited,investorgrievances@kamdhenuispat.com
INE879E01037,Kanani Industries Limited,investorgrievances@kananiindustries.com
INE292D01019,Kandagiri Spinning Mills Limited,ksmcs@kandagirimills.com
INE138C01024,Kanoria Chemicals & Industries Limited,investor@kanoriachem.com
INE531A01016,Kansai Nerolac Paints Limited,investor@nerolac.com
INE725L01011,Karma Energy Limited,investorhelpdesk@weizmann.co.in
INE614B01018,The Karnataka Bank Limited,investor.grievance@ktkbank.com
INE727F01019,Karur K.C.P. Packkagings Limited,Secretarial.kkpl@gmail.com
INE036D01010,Karur Vysya Bank Limited,kvb_sig@kvbmail.com
INE299C01024,Karuturi Global Limited,investorrelations@karuturi.com
INE234I01010,Kaushalya Infrastructure Development Corporation Limited,info@kaushalyainfrastructure.com
INE455I01029,Kaveri Seed Company Limited,cs.kaveri@gmail.com
INE641C01019,Kavveri Telecom Products Limited,companysecretary@kaveritelecoms.com
INE790B01024,KCP Sugar and Industries Corporation Limited,kcpsugar@vsnl.com
INE746A01010,KDL Biotech Limited,n_das@kdlbiotech.in
INE878B01027,KEI Industries Limited,cs@kei-ind.com
INE990B01012,Kemrock Industries and Exports Limited,bpatel@kemrock.com
INE202H01019,Kernex Microsystems (India) Limited,rajulv@kernex.in
INE133B01019,Kesar Enterprises Limited,djs@kesarindia.com
INE096L01017,Kesar Terminals & Infrastructure Limited,bhauteshshah@kesarindia.com
INE087A01019,Kesoram Industries Limited,cs@kesoram.net
INE401H01017,Kewal Kiran Clothing Limited,grievanceredressel@kewalkiran.com
INE681C01015,Keynote Corporate Services Limited,"info@keynoteindia.net, investors@keynoteindia.net"
INE438H01019,Kingfisher Airlines Limited,investor.relations@flykingfisher.com
INE731C01018,Khaitan (India) Limited,kilsugar@vsnl.net
INE761A01019,Khaitan Electricals Limited,hydfactory@khaitan.com
INE060B01014,Khandwala Securities Limited,investorgrievances@kslindia.com
INE729D01010,Kilitch Drugs (India) Limited,investors_compliants@kilitch.com
INE415I01015,Kiri Industries Limited,"investor@kiriindustries.com, cs@kiriindustries.com"
INE732A01036,Kirloskar Brothers Limited,grievance.redressal@kbl.co.in
INE134B01017,Kirloskar Electric Company Limited,investors@kirloskar-electric.com
INE920K01010,Kirloskar Brothers Investments Limited,contact@kbil.co.in
INE250A01039,Kirloskar Industries Limited,investorrelations@kirloskar.com
INE146L01010,Kirloskar Oil Engines Limited,smita.raichurkar@kirloskar.com
INE602G01020,Kitex Garments Limited,sect@kitexgarments.com
INE147B01019,Kitply Industries Limited,shabnum@kitply.com
INE014E01015,KLRF Limited,flourmills@klrf.in
INE157H01023,K.M.Sugar Mills Limited,cs@kmsugar.com
INE634I01011,KNR Constructions Limited,investors@knrcl.com
INE080B01012,Kohinoor Foods Limited,investors@kohinoorfoods.in
INE760A01029,Kokuyo Camlin Limited,investorrelations@kokuyocamlin.com
INE094I01018,Kolte - Patil Developers Limited,investorrelation@koltepatil.com
INE082A01010,Kopran Limited,sunil@kopran.com
INE237A01028,Kotak Mahindra Bank Limited,investor.grievances@kotak.com
INE720A01015,Kothari Petrochemicals Limited,kplcs@hckgroup.com
INE823A01017,Kothari Products Limited,rkgupta@kothariproducts.in
INE177F01017,Kovai Medical Center & Hospital Limited,secretarialdept@kmchhospitals.com
INE836A01035,KPIT Technologies Limited,grievances@kpitcummins.com
INE001B01026,KRBL Limited,investor@krblindia.com
INE409C01011,Krishna Engineering Works Limited,krishnaengineering.worksltd@yahoo.com
INE479D01038,Kriti Industries (India) Limited,cs@kritiindia.com
INE999A01015,KSB Pumps Limited,narasimhan.raghu@ksb.com
INE953E01014,KSE Limited,"kse@satyam.net.in, sankar@kselimited.com"
INE143H01015,KSK Energy Ventures Limited,investors@ksk.co.in
INE216D01018,KSS Limited,grievanceredressal@kserasera.com
INE775B01025,kwality limited,investor@kdil.in
INE337A01034,LG Balakrishnan & Bros Limited,lk.joshi@lgb.co.in
INE818H01012,LT Foods Limited,ir@ltgroup.in
INE498L01015,L&T Finance Holdings Limited,igrc@ltfinanceholdings.com
INE059D01012,La Opala RG Limited,alok@laopala.in
INE850E01012,The Lakshmi Finance & Industrial Corporation Limited,lakshmi_lfic@yahoo.com
INE269B01029,Lakshmi Machine Works Limited,investorscell@lmw.co.in
INE651C01018,Lakshmi Precision Screws Limited,complianceofficer@lpsindia.com
INE694C01018,Lakshmi Vilas Bank Limited,secretarial@lvbank.in
INE992B01026,Lakshmi Energy and Foods Limited,cs@lakshmigroup.in
INE938C01019,The Lakshmi Mills Company Limited,secretarial@lakshmimills.com
INE943C01027,Lanco Industries Limited,investors@lancoindustries.com
INE785C01048,Lanco Infratech Limited,veeru@lancogroup.com
INE197J01017,Landmark Property Development Company Limited,grievance@landmarkholdings.in
INE018A01030,Larsen & Toubro Limited,igrc@larsentoubro.com
INE938A01021,LCC Infotech Limited,enquiry@lccinfotech.co.in
INE201J01017,LGB Forge Limited,secretarial@lgb.co.in
INE557B01019,Liberty Shoes Limited,investorgrievancecell@libertyshoes.com
INE115A01026,LIC Housing Finance Limited,nitin_jage@lichousing.com
INE473A01011,Linde India Limited,pawan.marda@linde.com
INE245C01019,Lloyd Electric & Engineering Limited,investor.relation@lloydengg.com
INE174A01015,Lloyds Finance Limited,lflinvestors@yahoo.co.in
INE862A01015,LML Limited,investor.grievances@lml.co.in
INE848A01014,Logix Microsystems Limited,gopi.sd@logixworld.com
INE397H01017,Lokesh Machines Limited,cosecy@lokeshmachines.com
INE947I01017,Lotus Eye Care Hospital Limited,lotuseye@eth.net
INE597L01014,Lovable Lingerie Limited,corporate@lovableindia.in
INE872H01019,Lumax Auto Technologies Limited,shares@lumaxautotech.com
INE547G01019,Lumax Automotive Systems Limited,cs@lumaxauto.com
INE162B01018,Lumax Industries Limited,bsbhadauriya@lumaxmail.com
INE326A01037,Lupin Limited,investorservices@lupinpharma.com
INE933A01014,Lyka Labs Limited,investorredressal@lykalabs.com
INE142K01011,Lypsa Gems & Jewellery Limited,info@lypsa.in
INE101A01026,Mahindra & Mahindra Limited,investors@mahindra.com
INE774D01024,Mahindra & Mahindra Financial Services Limited,investorhelpline_mmfsl@mahindra.com
INE227C01017,MM Forgings Limited,sumathi@mmforgings.com
INE103A01014,Mangalore Refinery and Petrochemicals Limited,investor@mrplindia.com
INE153A01019,Mahanagar Telephone Nigam Limited,mtnligrc@bol.net.in
INE850A01010,Mahindra Ugine Steel Company Limited,investors_relation@mahindra.com
INE215I01019,Maan Aluminium Limited,nvstrcomplaint@gmail.com
INE925C01016,Madhav Marbles and Granites Limited,investormmgl@gmail.com
INE378D01032,Madhucon Projects Limited,cs@madhucon.com
INE414A01015,Madras Fertilizers Limited,cs@madrasfert.nic.in
INE511C01022,Magma Fincorp Limited,bhatia.g@magma.co.in
INE387I01016,Magnum Ventures Limited,magnumventures@gmail.com
INE288A01013,Maharashtra Scooters Limited,investors_msl@bajajauto.co.in
INE271B01025,Maharashtra Seamless Limited,secretarial@mahaseam.com
INE536H01010,Mahindra CIE Automotive Limited,mfl.investors@mahindra.com
INE998I01010,Mahindra Holidays & Resorts India Limited,investors@mahindraholidays.com
INE813A01018,Mahindra Lifespace Developers Limited,investor@mahindralifespaces.com
INE683C01011,Maithan Alloys Limited,office@maithanalloys.com
INE383H01017,Malu Paper Mills Limited,contact@malupaper.com
INE272B01015,Malwa Cotton Spg. Mills Limited,company.secretary@malwagroup.com
INE993A01026,Man Industries (India) Limited,investor.relation@maninds.org
INE949H01015,Man Infraconstruction Limited,investors@maninfra.com
INE015D01022,Manaksia Limited,investor.relations@manaksia.com
INE201A01024,Manali Petrochemicals Limited,companysecretary@manalipetro.com
